equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0058,1,glass,1,glass.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0059,1,glass_breakable,1,glass_breakable.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0060,1,glass_breakable,3,glass_breakable_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0061,1,glass_displacement,7,glass_displacement.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0062,1,glass_emissive,0,glass_emissive.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0063,1,glass_emissive,1,glass_emissive_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0064,2,glass_emissivenight,1,glass_emissivenight.sps | glass_emissivenight_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0065,1,glass_env,1,glass_env.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0066,1,glass_normal_spec_reflect,1,glass_normal_spec_reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0067,1,glass_pv,1,glass_pv.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0068,1,glass_pv_env,1,glass_pv_env.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0069,1,glass_reflect,1,glass_reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0070,1,glass_spec,1,glass_spec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0071,1,grass,3,grass.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0072,1,grass_batch,3,grass_batch.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0073,1,grass_fur,3,grass_fur.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0074,1,grass_fur_mask,3,grass_fur_mask.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0075,2,normal,0,gta_normal.sps | normal.sps,"same base shader, render bucket, parameters and layouts"
