selector,equivalence_id,member_count,base_name,render_bucket,structure_fingerprint,members,basis
gta_radar.sps,SHADER_EQ_0076,2,radar,0,d4546522ef41ade9,gta_radar.sps | radar.sps,"same base shader, render bucket, parameters and layouts"
radar.sps,SHADER_EQ_0076,2,radar,0,d4546522ef41ade9,gta_radar.sps | radar.sps,"same base shader, render bucket, parameters and layouts"
gta_reflect_alpha.sps,SHADER_EQ_0077,2,reflect,1,e1886e22745115ec,gta_reflect_alpha.sps | reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
reflect_alpha.sps,SHADER_EQ_0077,2,reflect,1,e1886e22745115ec,gta_reflect_alpha.sps | reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
gta_spec.sps,SHADER_EQ_0078,2,spec,0,671d5dc65c755ecd,gta_spec.sps | spec.sps,"same base shader, render bucket, parameters and layouts"
spec.sps,SHADER_EQ_0078,2,spec,0,671d5dc65c755ecd,gta_spec.sps | spec.sps,"same base shader, render bucket, parameters and layouts"
minimap.sps,SHADER_EQ_0079,1,minimap,0,a891700e5451091c,minimap.sps,"same base shader, render bucket, parameters and layouts"
mirror_crack.sps,SHADER_EQ_0080,1,mirror_crack,1,d2a2e2b757016ff6,mirror_crack.sps,"same base shader, render bucket, parameters and layouts"
mirror_decal.sps,SHADER_EQ_0081,1,mirror_decal,1,c1cbd94344d46994,mirror_decal.sps,"same base shader, render bucket, parameters and layouts"
mirror_default.sps,SHADER_EQ_0082,1,mirror_default,1,97f46c0b74f8492b,mirror_default.sps,"same base shader, render bucket, parameters and layouts"
normal_alpha.sps,SHADER_EQ_0083,1,normal,1,09aac5da7e515c6f,normal_alpha.sps,"same base shader, render bucket, parameters and layouts"
normal_cubemap_reflect.sps,SHADER_EQ_0084,1,normal_cubemap_reflect,0,60c02d58e9e62f40,normal_cubemap_reflect.sps,"same base shader, render bucket, parameters and layouts"
normal_cutout.sps,SHADER_EQ_0085,2,normal,3,09aac5da7e515c6f,normal_cutout.sps | normal_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
normal_screendooralpha.sps,SHADER_EQ_0085,2,normal,3,09aac5da7e515c6f,normal_cutout.sps | normal_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
normal_cutout_tnt.sps,SHADER_EQ_0086,1,normal_tnt,3,d55a376bba462e6b,normal_cutout_tnt.sps,"same base shader, render bucket, parameters and layouts"
normal_cutout_um.sps,SHADER_EQ_0087,1,normal_um,3,4f4575e6610e45b2,normal_cutout_um.sps,"same base shader, render bucket, parameters and layouts"
